Unnamed: 0,CellID,Hoechst_1,CD4,FOXP3,PD-L1,Hoechst_2,IBA1,SOX2,PD-1,CD45,Hoechst_3,CD163,PAN-CK,gH2AX,Vimentin,Hoechst_4,TIM3,CD11c,CD8a,Hoechst_5,E-cadherin,CD66b,CD20,Hoechst_6,Ki67,p-S6,CD31,Hoechst_7,CD45RO,HLA-DBP1,NKG2A,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample,Condition,Replicate,imageid,phenotype,TDA
1305997,1528796,1053.3484848484848,443.0757575757576,64.48484848484848,288.6666666666667,1568.439393939394,4506.530303030303,128.83333333333334,175.8181818181818,50.621212121212125,2039.8939393939395,3600.0151515151515,110.5,210.62121212121207,322.40909090909093,2054.9242424242425,868.469696969697,119.84848484848484,364.530303030303,1439.7121212121212,393.6969696969697,71.39393939393939,349.3484848484849,1896.409090909091,149.34848484848484,181.34848484848484,86.07575757575758,1088.878787878788,363.0,368.43939393939394,244.72727272727272,51318.21212121212,33277.545454545456,66.0,11.815037063889788,7.161583513855452,0.7953568767894692,0.9295774647887324,0.7857142857142857,0.0977025777934882,HNSCC_7,HN,1,HNSCC_7,M2 macrophages,stroma_ad_carcinoma_invasive_HNSCC_7_3
1307736,1530950,1150.0,422.3103448275862,81.03448275862068,439.3103448275862,1544.574712643678,6634.609195402299,153.93103448275863,203.11494252873564,53.49425287356322,1504.4137931034484,1799.8735632183907,124.5057471264368,237.31034482758625,1410.896551724138,1781.7011494252874,1027.4367816091954,144.39080459770116,501.7931034482759,1355.7701149425288,428.1954022988506,488.5057471264368,200.6896551724137,1672.5402298850574,170.98850574712642,722.4252873563219,208.0114942528736,1123.7816091954023,416.86206896551727,378.2068965517241,298.04597701149424,51214.91954022989,32833.402298850575,87.0,11.040836437494216,10.098591642783028,0.4042281127905957,0.956043956043956,0.71900826446281,-0.2736860874066615,HNSCC_7,HN,1,HNSCC_7,M2 macrophages,stroma_ad_carcinoma_invasive_HNSCC_7_3
1308971,1532443,998.1736111111112,119.48611111111111,63.34722222222222,352.61805555555554,1593.9444444444443,1476.5208333333333,119.46527777777776,191.01388888888889,49.65972222222222,2112.1041666666665,601.2013888888889,138.74305555555554,284.1041666666667,1878.6458333333333,2242.125,632.7361111111111,129.58333333333334,387.9375,1467.5833333333333,362.2013888888889,73.45138888888889,205.22222222222223,1436.736111111111,142.3125,343.2083333333333,181.51388888888889,1224.361111111111,328.7638888888889,148.29166666666666,247.44444444444449,51164.11805555556,32684.1875,144.0,22.38108164061788,8.224051562470285,0.9300411038977412,0.9171974522292994,0.5,-0.8322747988276304,HNSCC_7,HN,1,HNSCC_7,stromal cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1309252,1532780,1699.2019950124688,184.29177057356608,83.50374064837905,462.5810473815461,2830.152119700748,1848.7905236907727,168.38902743142145,191.24688279301745,51.02992518703242,3153.713216957606,869.3241895261846,160.74064837905237,365.2069825436409,3684.5286783042393,3502.009975062344,1049.1895261845386,172.643391521197,389.9925187032419,2539.172069825436,493.92269326683294,91.86533665835412,444.7630922693267,3185.209476309227,185.6059850374065,316.35660847880297,3217.346633416458,2602.448877805486,437.98753117206985,338.16708229426433,262.5660847880299,51850.09725685786,33835.51620947631,401.0,31.62015376632391,16.305082521451535,0.8567964621918592,0.945754716981132,0.6188271604938271,-0.939525240700296,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1311871,1535931,1117.3275862068965,435.82758620689657,126.34482758620688,400.82758620689657,1501.905172413793,1399.7844827586207,187.7844827586207,200.27586206896552,49.76724137931034,1691.8189655172414,966.4741379310344,129.64655172413794,259.98275862068965,1057.1206896551723,1729.5689655172414,885.8189655172414,122.67241379310344,553.801724137931,1315.9827586206898,511.57758620689657,91.81896551724138,322.3189655172414,991.8793103448276,167.20689655172413,1419.655172413793,310.5431034482759,939.6724137931036,403.2241379310345,217.81034482758625,261.7586206896552,51868.85344827586,33341.03448275862,116.0,12.7039833705078,11.663586347016034,0.3963380265179601,0.935483870967742,0.7435897435897436,-0.0349235839412116,HNSCC_7,HN,1,HNSCC_7,stromal cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1311872,1535932,1079.5408163265306,355.7959183673469,122.71428571428572,338.59183673469386,1683.6020408163265,1562.969387755102,189.55102040816325,197.24489795918367,50.755102040816325,1732.9591836734694,986.3775510204082,140.1326530612245,244.08163265306123,874.1734693877551,2016.234693877551,916.0408163265306,136.85714285714286,561.4387755102041,1410.9897959183672,492.6020408163265,88.95918367346938,818.6428571428571,1824.1938775510205,182.81632653061223,7029.7040816326535,816.1836734693877,1474.65306122449,438.2959183673469,122.3265306122449,289.7755102040816,51836.10204081632,33783.30612244898,98.0,12.634422292100542,10.029105236950478,0.6081891337283644,0.9607843137254902,0.7538461538461538,-0.3341890003178247,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1312843,1537114,987.8562874251496,214.91017964071847,93.76047904191616,394.07185628742513,1417.670658682635,1386.125748502994,134.8203592814371,184.50299401197609,50.86826347305389,1872.7964071856288,929.2874251497008,168.2814371257485,278.4311377245509,2443.3473053892217,1724.6347305389222,698.5389221556886,109.5748502994012,391.58682634730536,1240.035928143713,389.61077844311376,72.34730538922156,477.8263473053892,239.48502994011977,125.95209580838323,190.5209580838324,73.42514970059881,576.4311377245509,331.5688622754491,64.47904191616766,246.21556886227543,52296.13173652695,33881.44910179641,167.0,19.25588695970704,11.212939780169387,0.8129651824786187,0.9382022471910112,0.6958333333333333,-0.8135199835485432,HNSCC_7,HN,1,HNSCC_7,stromal cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1312931,1537219,1357.9530516431926,170.27230046948358,84.77934272300469,432.32394366197184,2557.769953051644,1469.093896713615,158.8544600938967,217.6948356807512,57.7887323943662,3176.3568075117373,833.9295774647887,164.25352112676055,489.5774647887324,2573.6338028169016,3459.6666666666665,951.6150234741784,151.34741784037558,1776.4647887323945,2472.0657276995307,480.2347417840376,84.70422535211267,267.8075117370892,3405.12676056338,1675.638497652582,2094.680751173709,1374.6478873239437,2677.718309859155,675.169014084507,336.63849765258215,380.8779342723005,51599.91079812207,32358.52582159625,213.0,18.015991527719056,15.454299251989704,0.5139667843190646,0.9141630901287554,0.696078431372549,-0.6570448933126699,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1313328,1537707,1102.051282051282,229.84615384615384,50.37179487179487,345.05128205128204,1775.820512820513,938.9102564102564,141.73076923076923,191.3333333333333,49.6025641025641,1927.679487179487,574.3461538461538,147.21794871794873,252.6794871794872,1583.2692307692307,2212.294871794872,790.8589743589744,122.84615384615384,779.8076923076923,1578.076923076923,412.87179487179486,660.7820512820513,198.7692307692308,2984.576923076923,208.53846153846155,179.65384615384616,927.2820512820512,618.0897435897435,529.9230769230769,145.42307692307693,837.6666666666666,51524.4358974359,33010.39743589744,78.0,12.19139245183366,8.981890395795643,0.6761757896575945,0.8125,0.5909090909090909,0.3985415677531951,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1315146,1539929,990.0642201834862,141.7018348623853,64.44495412844037,416.1697247706422,1441.1467889908256,1065.7844036697247,171.11926605504587,201.1422018348624,51.06422018348624,1473.4954128440368,827.7385321100918,150.36238532110093,311.92201834862385,2713.146788990826,1564.8119266055046,1178.926605504587,118.8394495412844,464.7706422018349,1178.5183486238532,464.6880733944954,77.38990825688073,367.9908256880734,1369.01376146789,167.9724770642202,2506.408256880734,679.7522935779816,1053.9587155963302,401.7522935779817,75.55504587155963,265.38990825688074,52296.48165137615,33443.71559633027,218.0,17.825544481670658,15.627426693741,0.4810608610305991,0.9646017699115044,0.7569444444444444,1.0916819766230967,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1316157,1541164,1227.3,460.4333333333333,122.13333333333334,405.6666666666667,1751.0111111111112,1340.1,182.61111111111111,186.16666666666663,49.77777777777778,1653.6,739.3111111111111,145.98888888888888,232.16666666666663,1002.1888888888888,1982.5777777777776,885.1666666666666,116.27777777777776,403.56666666666666,1503.9222222222222,513.3222222222222,88.46666666666667,211.01111111111112,1963.5666666666664,179.2111111111111,3485.011111111111,1246.8555555555556,1761.8444444444444,423.7111111111111,113.78888888888888,270.6222222222222,52071.88888888889,33018.544444444444,90.0,11.898016289687751,9.678571135995355,0.5816195929804874,0.9574468085106383,0.75,1.2223577196230837,HNSCC_7,HN,1,HNSCC_7,endothelial cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
1316280,1541309,1048.0566037735848,455.62893081761007,143.33962264150944,412.6415094339623,1414.006289308176,2305.2955974842766,170.8238993710692,266.9937106918239,57.54716981132076,1638.748427672956,1064.1446540880504,151.68553459119497,270.8238993710692,1888.7861635220129,1609.5849056603774,1135.2893081761006,155.83018867924528,2121.0377358490564,1282.2389937106918,460.748427672956,86.24528301886792,1218.6163522012578,1816.2704402515724,232.9937106918239,973.3647798742138,340.0691823899371,1417.251572327044,485.1069182389937,140.8993710691824,310.24528301886795,50985.38993710692,33020.49056603773,159.0,16.872150277978054,12.0904642058656,0.6974915924027176,0.9520958083832336,0.7644230769230769,0.4413958083494618,HNSCC_7,HN,1,HNSCC_7,effector CD8+ T cells,stroma_ad_carcinoma_invasive_HNSCC_7_3
